usuario_id,serie_id,fecha,puntuacion,notificado
usr_0001,ser_1747,2023-08-26,7.18,False
usr_0001,ser_2272,2023-09-07,8.67,False
usr_0001,ser_0035,2025-03-01,9.43,False
usr_0001,ser_1487,2024-12-01,7.27,True
usr_0001,ser_2495,2024-03-21,7.8,False
usr_0001,ser_2488,2023-07-27,9.31,False
usr_0001,ser_1778,2023-06-21,9.63,False
usr_0001,ser_0295,2024-04-25,9.38,True
usr_0001,ser_2085,2024-11-01,6.75,False
usr_0001,ser_0616,2025-02-16,6.7,True
usr_0001,ser_2621,2024-12-30,7.42,False
usr_0001,ser_1926,2023-05-29,9.45,False
usr_0001,ser_2969,2023-12-30,8.25,False
usr_0002,ser_2472,2023-02-18,7.35,False
usr_0002,ser_0898,2025-04-12,7.08,True
usr_0002,ser_0209,2023-08-17,6.47,False
usr_0002,ser_0355,2023-01-31,8.11,True
usr_0002,ser_0029,2024-03-04,9.33,True
usr_0002,ser_0700,2023-09-06,8.0,False
usr_0002,ser_1959,2024-06-16,7.15,False
usr_0002,ser_0742,2023-10-08,8.55,False
usr_0002,ser_0922,2024-03-07,6.57,False
usr_0002,ser_1891,2024-03-17,7.46,False
usr_0002,ser_0197,2024-03-15,8.1,False
usr_0002,ser_2164,2023-03-27,8.07,True
usr_0002,ser_0396,2023-03-24,6.52,False
usr_0003,ser_2507,2023-04-02,6.54,False
usr_0003,ser_2011,2023-05-09,8.55,False
usr_0003,ser_1804,2024-12-09,6.97,True
usr_0003,ser_1726,2024-02-21,8.88,False
usr_0003,ser_0584,2024-08-15,6.39,True
usr_0004,ser_0484,2024-05-27,7.52,True
usr_0004,ser_1364,2023-04-17,6.79,True
usr_0004,ser_0213,2024-06-20,6.65,False
usr_0004,ser_1105,2023-03-15,6.27,False
usr_0004,ser_1821,2024-02-24,9.23,False
usr_0004,ser_1896,2023-03-05,6.78,True
usr_0004,ser_2980,2024-02-25,6.45,True
usr_0004,ser_2365,2023-12-22,7.12,False
usr_0004,ser_1119,2023-05-29,6.52,False
usr_0004,ser_0707,2023-02-03,9.44,False
usr_0004,ser_0963,2024-07-26,8.46,True
usr_0004,ser_2358,2024-08-05,6.48,True
usr_0004,ser_1526,2025-03-03,6.25,False
usr_0005,ser_1728,2023-06-02,9.0,True
usr_0005,ser_0131,2023-10-23,7.53,True
usr_0005,ser_2636,2024-12-21,9.42,True
usr_0005,ser_0243,2024-05-28,6.61,False
usr_0005,ser_0688,2024-07-12,6.03,True
usr_0005,ser_1019,2023-08-23,7.8,True
usr_0006,ser_1245,2024-06-06,8.39,False
usr_0006,ser_0452,2023-04-06,6.59,True
usr_0006,ser_2237,2024-09-29,8.56,True
usr_0006,ser_0480,2025-03-19,7.88,False
usr_0006,ser_1895,2024-11-13,9.79,False
usr_0006,ser_0765,2024-09-21,8.04,True
usr_0006,ser_0265,2024-08-06,9.49,True
usr_0006,ser_0433,2025-02-17,8.52,True
usr_0006,ser_0318,2024-02-28,7.9,False
usr_0006,ser_1688,2023-01-06,7.94,True
usr_0006,ser_2545,2024-09-03,6.18,True
usr_0007,ser_0446,2023-12-15,8.07,False
usr_0007,ser_2636,2023-04-04,8.14,False
usr_0007,ser_0477,2025-04-01,9.82,True
usr_0007,ser_1536,2024-09-08,8.86,False
usr_0007,ser_0197,2024-04-14,9.93,False
usr_0007,ser_2831,2024-11-06,6.81,False
usr_0007,ser_1897,2023-10-20,9.19,True
usr_0008,ser_2633,2024-02-04,8.34,True
usr_0008,ser_0066,2023-02-27,9.12,True
usr_0008,ser_0586,2023-11-18,8.9,False
usr_0009,ser_1966,2023-05-22,6.29,True
usr_0009,ser_1160,2024-03-16,8.65,False
usr_0009,ser_0442,2023-08-07,9.84,False
usr_0009,ser_1482,2023-09-14,9.38,True
usr_0009,ser_2757,2024-09-24,7.28,True
usr_0009,ser_2164,2025-03-16,9.53,True
usr_0009,ser_1217,2025-01-29,6.88,False
usr_0010,ser_0900,2023-12-02,7.89,True
usr_0010,ser_0617,2024-02-10,8.91,False
usr_0010,ser_2654,2023-11-18,9.97,True
usr_0010,ser_1042,2024-12-13,6.09,True
usr_0010,ser_1776,2024-12-01,8.72,False
usr_0010,ser_2241,2024-07-03,6.83,True
usr_0010,ser_0961,2023-03-30,8.25,True
usr_0010,ser_1597,2024-07-04,8.77,False
usr_0010,ser_1903,2023-08-26,8.71,False
usr_0010,ser_0946,2025-03-22,9.53,True
usr_0011,ser_2588,2025-01-07,6.79,False
usr_0011,ser_2828,2023-04-10,8.73,False
usr_0011,ser_2869,2025-04-07,6.61,True
usr_0011,ser_1631,2023-08-14,7.25,True
usr_0011,ser_2607,2023-03-27,9.62,False
usr_0011,ser_2879,2024-02-08,6.03,True
usr_0011,ser_2211,2023-10-11,6.49,True
usr_0012,ser_2904,2023-01-25,6.25,False
usr_0012,ser_2486,2023-09-28,7.01,True
usr_0012,ser_2482,2023-05-26,7.97,False
